Record_Hour,NMHC(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Month,DateOfMonth,Weekday,Weekend,dNMHC,dNOx,dNO2
11.0,166.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,3,12,4,0,52.0,73.0,30.0
12.0,114.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,3,12,4,0,--26.0,--17.0,--3.0
13.0,140.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,3,12,4,0,--29.0,--3.0,--7.0
14.0,169.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,3,12,4,0,--16.0,--27.0,--3.0
15.0,185.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,3,12,4,0,20.0,12.0,6.0
16.0,165.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,3,12,4,0,32.0,28.0,1.0
17.0,133.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,3,12,4,0,--100.0,--56.0,--30.0
18.0,233.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,3,12,4,0,--9.0,4.0,4.0
19.0,242.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,3,12,4,0,--246.0,--138.0,--25.0
20.0,488.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,3,12,4,0,155.0,66.0,21.0
21.0,333.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,3,12,4,0,118.0,21.0,10.0
22.0,215.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,3,12,4,0,--152.0,--47.0,5.0
23.0,367.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,3,12,4,0,245.0,107.0,21.0
0.0,122.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,3,13,5,1,55.0,54.0,16.0
1.0,67.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,3,13,5,1,24.0,56.0,15.0
2.0,43.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,3,13,5,1,--3.0,0.0,0.0
3.0,46.0,0.0,1179.0,0.0,1380.0,996.0,7.8,67.5,0.7173,3,13,5,1,--10.0,0.0,0.0
4.0,56.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,3,13,5,1,26.0,47.0,18.0
5.0,30.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,3,13,5,1,3.0,9.0,5.0
6.0,27.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,3,13,5,1,--20.0,--86.0,--17.0
7.0,47.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,3,13,5,1,--85.0,--117.0,--19.0
8.0,132.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,3,13,5,1,--107.0,--39.0,--23.0
9.0,239.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,3,13,5,1,79.0,45.0,--7.0
10.0,160.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,3,13,5,1,--123.0,--46.0,--32.0
11.0,283.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,3,13,5,1,73.0,57.0,--3.0
12.0,210.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,3,13,5,1,56.0,86.0,37.0
13.0,154.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,3,13,5,1,42.0,35.0,22.0
14.0,112.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,3,13,5,1,4.0,--1.0,--14.0
15.0,108.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,3,13,5,1,--3.0,--19.0,--8.0
16.0,111.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,3,13,5,1,14.0,--10.0,--1.0
17.0,97.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,3,13,5,1,--94.0,--79.0,--23.0
18.0,191.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,3,13,5,1,--67.0,--50.0,--17.0
19.0,258.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,3,13,5,1,--26.0,--2.0,4.0
20.0,284.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,3,13,5,1,15.0,--4.0,2.0
21.0,269.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,3,13,5,1,89.0,69.0,16.0
22.0,180.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,3,13,5,1,64.0,42.0,13.0
23.0,116.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,3,13,5,1,23.0,--18.0,1.0
0.0,93.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,3,14,6,1,--38.0,16.0,10.0
1.0,131.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,3,14,6,1,39.0,46.0,15.0
2.0,92.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,3,14,6,1,--40.0,0.0,0.0
3.0,132.0,0.0,921.0,0.0,1620.0,1278.0,11.6,63.4,0.8674,3,14,6,1,76.0,0.0,0.0
4.0,56.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,3,14,6,1,24.0,17.0,12.0
5.0,32.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,3,14,6,1,3.0,9.0,7.0
6.0,29.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,3,14,6,1,2.0,--30.0,--4.0
7.0,27.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,3,14,6,1,--9.0,--27.0,--17.0
8.0,36.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,3,14,6,1,--21.0,--17.0,1.0
9.0,57.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,3,14,6,1,--72.0,--26.0,--15.0
10.0,129.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,3,14,6,1,--19.0,--32.0,--16.0
11.0,148.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,3,14,6,1,3.0,15.0,--5.0
12.0,145.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,3,14,6,1,52.0,48.0,15.0
13.0,93.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,3,14,6,1,9.0,10.0,2.0
14.0,84.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,3,14,6,1,--15.0,--9.0,--5.0
15.0,99.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,3,14,6,1,--51.0,--58.0,--22.0
16.0,150.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,3,14,6,1,--6.0,--10.0,1.0
17.0,156.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,3,14,6,1,34.0,20.0,7.0
18.0,122.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,3,14,6,1,--140.0,--101.0,--36.0
19.0,262.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,3,14,6,1,--79.0,--64.0,--16.0
20.0,341.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,3,14,6,1,127.0,108.0,27.0
21.0,214.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,3,14,6,1,114.0,71.0,25.0
22.0,100.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,3,14,6,1,21.0,--6.0,2.0
23.0,79.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,3,14,6,1,13.0,48.0,20.0
0.0,66.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,3,15,0,0,--7.0,--2.0,6.0
1.0,73.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,3,15,0,0,7.0,--2.0,5.0
2.0,66.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,3,15,0,0,22.0,0.0,0.0
3.0,44.0,0.0,1128.0,0.0,1487.0,1021.0,12.6,63.5,0.923,3,15,0,0,0.0,0.0,0.0
4.0,44.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,3,15,0,0,5.0,--22.0,--3.0
5.0,39.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,3,15,0,0,--12.0,--50.0,--6.0
6.0,51.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,3,15,0,0,--56.0,--90.0,--9.0
7.0,107.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,3,15,0,0,--229.0,--132.0,--25.0
8.0,336.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,3,15,0,0,--282.0,--118.0,--35.0
9.0,618.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,3,15,0,0,180.0,84.0,--8.0
10.0,438.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,3,15,0,0,104.0,75.0,2.0
11.0,334.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,3,15,0,0,113.0,118.0,21.0
12.0,221.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,3,15,0,0,14.0,30.0,15.0
13.0,207.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,3,15,0,0,16.0,12.0,8.0
14.0,191.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,3,15,0,0,6.0,6.0,7.0
15.0,185.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,3,15,0,0,44.0,10.0,5.0
16.0,141.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,3,15,0,0,--73.0,--13.0,--11.0
17.0,214.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,3,15,0,0,--257.0,--158.0,--52.0
18.0,471.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,3,15,0,0,--214.0,--90.0,--25.0
19.0,685.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,3,15,0,0,147.0,84.0,22.0
20.0,538.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,3,15,0,0,219.0,64.0,20.0
21.0,319.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,3,15,0,0,95.0,63.0,20.0
22.0,224.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,3,15,0,0,157.0,104.0,24.0
23.0,67.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,3,15,0,0,--88.0,--38.0,--2.0
0.0,155.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,3,16,1,0,106.0,48.0,15.0
1.0,49.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,3,16,1,0,20.0,36.0,27.0
2.0,29.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,3,16,1,0,4.0,0.0,0.0
3.0,25.0,0.0,1376.0,0.0,1364.0,826.0,13.6,62.1,0.9636,3,16,1,0,0.0,0.0,0.0
4.0,25.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,3,16,1,0,8.0,21.0,7.0
5.0,17.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,3,16,1,0,--10.0,--44.0,--12.0
6.0,27.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,3,16,1,0,--23.0,--17.0,--6.0
7.0,50.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,3,16,1,0,--168.0,--164.0,--27.0
8.0,218.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,3,16,1,0,--67.0,34.0,2.0
9.0,285.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,3,16,1,0,--152.0,--167.0,--55.0
10.0,437.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,3,16,1,0,110.0,82.0,--12.0
11.0,327.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,3,16,1,0,44.0,97.0,8.0
12.0,283.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,3,16,1,0,--83.0,--35.0,--7.0
13.0,366.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,3,16,1,0,48.0,--11.0,0.0
14.0,318.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,3,16,1,0,90.0,83.0,33.0
15.0,228.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,3,16,1,0,27.0,--4.0,--1.0
16.0,201.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,3,16,1,0,2.0,--6.0,--4.0
17.0,199.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,3,16,1,0,--38.0,6.0,--6.0
18.0,237.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,3,16,1,0,--24.0,3.0,2.0
19.0,261.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,3,16,1,0,31.0,15.0,--6.0
20.0,230.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,3,16,1,0,--119.0,--151.0,--34.0
21.0,349.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,3,16,1,0,166.0,133.0,39.0
22.0,183.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,3,16,1,0,95.0,54.0,21.0
23.0,88.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,3,16,1,0,3.0,--2.0,10.0
0.0,85.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,3,17,2,0,38.0,37.0,17.0
1.0,47.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,3,17,2,0,13.0,25.0,11.0
2.0,34.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,3,17,2,0,8.0,0.0,0.0
3.0,26.0,0.0,1292.0,0.0,1332.0,884.0,13.1,57.9,0.8666,3,17,2,0,9.0,0.0,0.0
4.0,17.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,3,17,2,0,6.0,26.0,20.0
5.0,11.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,3,17,2,0,--7.0,--18.0,--13.0
6.0,18.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,3,17,2,0,--66.0,--114.0,--31.0
7.0,84.0,160.0,1038.0,84.0,1556.0,1052.0,9.9,65.2,0.7956,3,17,2,0,--176.0,--160.0,--24.0
8.0,260.0,320.0,702.0,108.0,1999.0,1534.0,11.1,60.2,0.7958,3,17,2,0,--274.0,--57.0,--19.0
9.0,534.0,377.0,553.0,127.0,2535.0,1931.0,14.1,50.0,0.802,3,17,2,0,166.0,97.0,--7.0
10.0,368.0,280.0,703.0,134.0,2026.0,1734.0,17.7,40.1,0.8048,3,17,2,0,168.0,59.0,--1.0
11.0,200.0,221.0,819.0,135.0,1782.0,1595.0,21.1,33.4,0.8265,3,17,2,0,55.0,11.0,--7.0
12.0,145.0,210.0,905.0,142.0,1654.0,1490.0,24.3,28.3,0.8471,3,17,2,0,--43.0,6.0,--11.0
13.0,188.0,204.0,861.0,153.0,1747.0,1508.0,25.6,25.6,0.8254,3,17,2,0,36.0,43.0,30.0
14.0,152.0,161.0,887.0,123.0,1712.0,1334.0,25.9,25.9,0.8503,3,17,2,0,49.0,26.0,19.0
15.0,103.0,135.0,1013.0,104.0,1520.0,1045.0,26.8,18.7,0.65,3,17,2,0,--90.0,--51.0,--25.0
16.0,193.0,186.0,940.0,129.0,1679.0,1221.0,29.3,15.8,0.6309,3,17,2,0,59.0,39.0,15.0
17.0,134.0,147.0,1032.0,114.0,1525.0,1069.0,28.5,14.9,0.5708,3,17,2,0,--252.0,--152.0,--44.0
18.0,386.0,299.0,793.0,158.0,1981.0,1569.0,25.9,16.0,0.5237,3,17,2,0,--191.0,--112.0,--36.0
19.0,577.0,411.0,617.0,194.0,2414.0,2306.0,23.1,26.5,0.7403,3,17,2,0,54.0,64.0,12.0
20.0,523.0,347.0,597.0,182.0,2416.0,2359.0,20.5,38.2,0.9133,3,17,2,0,51.0,11.0,2.0
21.0,472.0,336.0,653.0,180.0,2174.0,2050.0,19.1,42.6,0.9294,3,17,2,0,266.0,134.0,44.0
22.0,206.0,202.0,770.0,136.0,1727.0,1727.0,17.2,44.1,0.8558,3,17,2,0,--10.0,24.0,9.0
23.0,216.0,178.0,731.0,127.0,1778.0,1705.0,16.0,50.9,0.9206,3,17,2,0,57.0,24.0,11.0
0.0,159.0,154.0,796.0,116.0,1669.0,1551.0,14.8,53.9,0.9024,3,18,3,0,89.0,62.0,9.0
1.0,70.0,92.0,947.0,107.0,1502.0,1240.0,14.3,55.4,0.8975,3,18,3,0,26.0,31.0,19.0
2.0,44.0,61.0,1057.0,88.0,1407.0,1115.0,14.8,52.1,0.8686,3,18,3,0,2.0,0.0,0.0
3.0,42.0,0.0,1196.0,0.0,1351.0,969.0,13.9,53.9,0.8501,3,18,3,0,14.0,0.0,0.0
4.0,28.0,60.0,1260.0,78.0,1334.0,925.0,11.6,61.9,0.8442,3,18,3,0,8.0,23.0,21.0
5.0,20.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,3,18,3,0,--6.0,--31.0,--14.0
6.0,26.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113,3,18,3,0,--52.0,--71.0,--14.0
7.0,78.0,139.0,1005.0,85.0,1551.0,1075.0,10.6,63.3,0.8067,3,18,3,0,--241.0,--200.0,--39.0
8.0,319.0,339.0,667.0,124.0,2094.0,1610.0,11.5,60.0,0.8117,3,18,3,0,--187.0,--82.0,--27.0
9.0,506.0,421.0,541.0,151.0,2468.0,2051.0,14.3,50.6,0.8186,3,18,3,0,0.0,72.0,1.0
10.0,0.0,349.0,686.0,150.0,2010.0,1819.0,17.8,40.5,0.821,3,18,3,0,0.0,125.0,--2.0
11.0,0.0,224.0,831.0,152.0,1752.0,1568.0,20.8,34.4,0.8365,3,18,3,0,0.0,53.0,13.0
12.0,0.0,171.0,899.0,139.0,1663.0,1374.0,23.8,28.2,0.8219,3,18,3,0,0.0,22.0,6.0
13.0,0.0,149.0,891.0,133.0,1648.0,1268.0,24.2,28.7,0.8515,3,18,3,0,0.0,12.0,7.0
14.0,0.0,137.0,901.0,126.0,1660.0,1144.0,25.2,24.9,0.7829,3,18,3,0,0.0,--12.0,--2.0
15.0,0.0,149.0,934.0,128.0,1639.0,1109.0,27.0,17.8,0.6275,3,18,3,0,0.0,--23.0,--41.0
16.0,0.0,172.0,822.0,169.0,1767.0,1347.0,27.1,23.1,0.818,3,18,3,0,0.0,6.0,20.0
17.0,0.0,166.0,873.0,149.0,1689.0,1206.0,25.8,23.9,0.7832,3,18,3,0,0.0,--48.0,--7.0
18.0,0.0,214.0,764.0,156.0,1957.0,1397.0,23.0,26.8,0.7446,3,18,3,0,0.0,--66.0,--12.0
19.0,0.0,280.0,683.0,168.0,2118.0,1588.0,20.7,31.1,0.7523,3,18,3,0,0.0,4.0,--8.0
20.0,0.0,276.0,684.0,176.0,2051.0,1569.0,18.6,36.2,0.7676,3,18,3,0,0.0,98.0,41.0
21.0,0.0,178.0,814.0,135.0,1732.0,1322.0,16.0,48.4,0.8768,3,18,3,0,0.0,49.0,14.0
22.0,0.0,129.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456,3,18,3,0,0.0,34.0,22.0
23.0,0.0,95.0,948.0,99.0,1545.0,1062.0,13.1,64.2,0.9606,3,18,3,0,0.0,--31.0,--7.0
0.0,0.0,126.0,918.0,106.0,1606.0,1040.0,12.0,69.7,0.9735,3,19,4,0,0.0,23.0,10.0
1.0,0.0,103.0,1021.0,96.0,1501.0,917.0,11.9,71.1,0.9915,3,19,4,0,0.0,55.0,33.0
2.0,0.0,48.0,1229.0,63.0,1380.0,594.0,12.5,69.3,1.0029,3,19,4,0,0.0,0.0,0.0
3.0,0.0,0.0,1382.0,0.0,1301.0,430.0,12.5,67.5,0.9768,3,19,4,0,0.0,0.0,0.0
4.0,0.0,20.0,1440.0,32.0,1280.0,397.0,12.3,67.7,0.9665,3,19,4,0,0.0,2.0,4.0
5.0,0.0,18.0,1620.0,28.0,1260.0,370.0,12.5,66.8,0.962,3,19,4,0,0.0,--38.0,--33.0
6.0,0.0,56.0,1373.0,61.0,1324.0,438.0,12.3,66.3,0.9487,3,19,4,0,0.0,--59.0,--38.0
7.0,0.0,115.0,1054.0,99.0,1539.0,704.0,12.4,64.9,0.9332,3,19,4,0,0.0,--205.0,--58.0
8.0,0.0,320.0,671.0,157.0,2144.0,1476.0,13.0,61.6,0.9209,3,19,4,0,0.0,--37.0,--9.0
9.0,0.0,357.0,575.0,166.0,2456.0,1716.0,13.6,58.8,0.912,3,19,4,0,0.0,104.0,17.0
10.0,0.0,253.0,701.0,149.0,1980.0,1398.0,13.9,57.1,0.9032,3,19,4,0,0.0,35.0,14.0
11.0,0.0,218.0,759.0,135.0,1879.0,1268.0,14.5,54.4,0.8917,3,19,4,0,0.0,26.0,8.0
12.0,0.0,192.0,813.0,127.0,1751.0,1188.0,15.5,50.1,0.8744,3,19,4,0,0.0,16.0,5.0
13.0,0.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655,3,19,4,0,0.0,--22.0,--13.0
14.0,0.0,198.0,771.0,135.0,1875.0,1250.0,16.3,47.1,0.864,3,19,4,0,0.0,--14.0,--4.0
15.0,0.0,212.0,724.0,139.0,1957.0,1344.0,16.4,47.5,0.8791,3,19,4,0,0.0,--37.0,--8.0
